benchmark,file,result,numberOfVariables,reps,numberOfClauses,height,ucNumberOfVariables,ucReps,ucNumberOfClauses,ucHeight
FASTJSON-104_1,smt-15,SAT,8,12,17,8,0,0,0,0
FASTJSON-104_1,smt-20,SAT,2,13,9,8,0,0,0,0
FASTJSON-104_1,smt-13,SAT,5,19,15,9,0,0,0,0
FASTJSON-104_1,smt-16,SAT,5,19,15,9,0,0,0,0
FASTJSON-104_1,smt-19,SAT,6,12,16,8,0,0,0,0
FASTJSON-104_1,smt-21,UNSAT,4,11,11,8,2,2,3,3
FASTJSON-104_1,smt-23,UNSAT,9,12,20,8,3,2,4,4
FASTJSON-104_1,smt-2,SAT,5,19,15,9,0,0,0,0
FASTJSON-104_1,smt-5,SAT,5,19,15,9,0,0,0,0
FASTJSON-104_1,smt-14,SAT,12,43,43,9,0,0,0,0
FASTJSON-104_1,smt-56,SAT,13,34,33,8,0,0,0,0
FASTJSON-104_1,smt-54,SAT,12,45,45,9,0,0,0,0
FASTJSON-104_1,smt-51,UNSAT,10,14,22,8,3,2,4,4
FASTJSON-104_1,smt-52,SAT,41,109,163,68,0,0,0,0
FASTJSON-104_1,smt-61,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-104_1,smt-57,SAT,41,109,163,68,0,0,0,0
FASTJSON-104_1,smt-6,SAT,5,19,15,9,0,0,0,0
FASTJSON-104_1,smt-60,SAT,13,34,32,8,0,0,0,0
FASTJSON-104_1,smt-59,SAT,41,109,163,68,0,0,0,0
FASTJSON-104_1,smt-62,SAT,4,14,15,8,0,0,0,0
FASTJSON-104_1,smt-17,SAT,47,123,168,96,0,0,0,0
FASTJSON-104_1,smt-48,UNSAT,5,13,13,8,3,2,4,3
FASTJSON-104_1,smt-53,SAT,41,109,163,68,0,0,0,0
FASTJSON-104_1,smt-50,UNSAT,76,170,252,96,22,4,5,23
FASTJSON-104_1,smt-68,SAT,22,75,66,9,0,0,0,0
FASTJSON-104_1,smt-69,SAT,2,13,9,8,0,0,0,0
FASTJSON-104_1,smt-55,SAT,49,131,181,96,0,0,0,0
FASTJSON-104_1,smt-7,SAT,4,12,13,8,0,0,0,0
FASTJSON-104_1,smt-67,SAT,41,95,151,96,0,0,0,0
FASTJSON-104_1,smt-71,SAT,15,45,48,9,0,0,0,0
FASTJSON-104_1,smt-72,UNSAT,12,43,35,9,7,10,7,7
FASTJSON-104_1,smt-74,SAT,2,13,9,8,0,0,0,0
FASTJSON-104_1,smt-75,SAT,2,13,9,8,0,0,0,0
FASTJSON-104_1,smt-76,UNSAT,16,60,47,9,2,2,3,3
FASTJSON-104_1,smt-77,SAT,7,14,20,8,0,0,0,0
FASTJSON-104_1,smt-78,SAT,2,13,9,8,0,0,0,0
FASTJSON-104_1,smt-58,SAT,64,187,244,96,0,0,0,0
FASTJSON-104_1,smt-63,SAT,49,131,181,96,0,0,0,0
FASTJSON-104_1,smt-81,SAT,7,14,18,8,0,0,0,0
FASTJSON-104_1,smt-82,SAT,13,34,33,8,0,0,0,0
FASTJSON-104_1,smt-84,SAT,16,46,41,9,0,0,0,0
FASTJSON-104_1,smt-49,SAT,48,126,177,96,0,0,0,0
FASTJSON-104_1,smt-27,SAT,13,32,31,8,0,0,0,0
FASTJSON-104_1,smt-25,SAT,2,13,9,8,0,0,0,0
FASTJSON-104_1,smt-85,UNSAT,0,0,4,1,0,0,1,1
FASTJSON-104_1,smt-26,SAT,4,14,15,8,0,0,0,0
FASTJSON-104_1,smt-45,SAT,4,14,15,8,0,0,0,0
FASTJSON-104_1,smt-3,SAT,4,12,13,8,0,0,0,0
FASTJSON-104_1,smt-29,SAT,5,14,17,8,0,0,0,0
FASTJSON-104_1,smt-70,SAT,49,131,181,96,0,0,0,0
FASTJSON-104_1,smt-79,UNSAT,143,945,559,96,35,8,8,37
FASTJSON-104_1,smt-34,SAT,5,14,17,8,0,0,0,0
FASTJSON-104_1,smt-64,SAT,89,209,297,96,0,0,0,0
FASTJSON-104_1,smt-86,SAT,13,34,33,8,0,0,0,0
FASTJSON-104_1,smt-31,SAT,5,14,17,8,0,0,0,0
FASTJSON-104_1,smt-35,SAT,5,14,17,8,0,0,0,0
FASTJSON-104_1,smt-89,UNSAT,310,847,919,96,5,2,6,4
FASTJSON-104_1,smt-38,SAT,12,45,45,9,0,0,0,0
FASTJSON-104_1,smt-41,SAT,13,54,41,13,0,0,0,0
FASTJSON-104_1,smt-36,UNSAT,9,12,20,8,3,2,4,4
FASTJSON-104_1,smt-30,SAT,39,103,152,68,0,0,0,0
FASTJSON-104_1,smt-37,UNSAT,4,11,11,8,2,2,3,3
FASTJSON-104_1,smt-40,SAT,8,14,18,8,0,0,0,0
