benchmark,smt,event,duration,result
SPOON-163_1,smt-1,check,0,false
FASTJSON-79_1,smt-57,check,0,false
FASTJSON-17_1,smt-1,check,0,false
FASTJSON-39_1,smt-37,check,0,false
FASTJSON-104_1,smt-57,check,0,false
GUAVA-174_1,smt-57,check,0,false
SPOON-151_1,smt-1121,check,0,false
FASTJSON-49_1,smt-37,check,0,false
SPOON-163_1,smt-1,solve,15,SAT
FASTJSON-17_1,smt-1,solve,17,SAT
SPOON-163_1,smt-7,check,0,false
FASTJSON-17_1,smt-7,check,0,false
SPOON-163_1,smt-7,solve,16,SAT
SPOON-163_1,smt-27,check,0,false
FASTJSON-17_1,smt-7,solve,25,SAT
FASTJSON-17_1,smt-4,check,0,false
FASTJSON-79_1,smt-57,solve,29,UNSAT
FASTJSON-17_1,smt-4,solve,6,SAT
FASTJSON-17_1,smt-3,check,0,false
FASTJSON-79_1,smt-57,update,38,
FASTJSON-79_1,smt-90,check,0,false
FASTJSON-79_1,smt-90,solve,6,UNSAT
FASTJSON-79_1,smt-90,update,2,
FASTJSON-79_1,smt-37,check,0,false
FASTJSON-17_1,smt-3,solve,12,SAT
FASTJSON-17_1,smt-2,check,0,false
FASTJSON-79_1,smt-37,solve,4,UNSAT
FASTJSON-79_1,smt-37,update,2,
FASTJSON-79_1,smt-1,check,0,false
FASTJSON-17_1,smt-2,solve,9,SAT
FASTJSON-17_1,smt-8,check,0,false
FASTJSON-79_1,smt-1,solve,6,SAT
FASTJSON-79_1,smt-87,check,0,false
FASTJSON-17_1,smt-8,solve,7,UNSAT
FASTJSON-17_1,smt-8,update,35,
FASTJSON-17_1,smt-6,check,0,false
FASTJSON-17_1,smt-6,solve,18,SAT
FASTJSON-17_1,smt-5,check,0,false
FASTJSON-17_1,smt-5,solve,9,UNSAT
FASTJSON-17_1,smt-5,update,1,
FASTJSON-79_1,smt-87,solve,38,UNSAT
FASTJSON-79_1,smt-87,update,1,
SEATA-24_1,smt-1,check,0,false
FASTJSON-79_1,smt-31,check,0,false
FASTJSON-39_1,smt-37,solve,65,UNSAT
FASTJSON-39_1,smt-37,update,34,
SEATA-24_1,smt-1,solve,9,SAT
FASTJSON-39_1,smt-1,check,0,false
SEATA-24_1,smt-31,check,0,false
FASTJSON-39_1,smt-1,solve,6,SAT
FASTJSON-39_1,smt-31,check,0,false
FASTJSON-79_1,smt-31,solve,22,UNSAT
FASTJSON-79_1,smt-31,update,1,
FASTJSON-79_1,smt-89,check,0,false
FASTJSON-39_1,smt-31,solve,9,SAT
SEATA-24_1,smt-31,solve,14,UNSAT
SEATA-24_1,smt-31,update,1,
FASTJSON-39_1,smt-7,check,0,false
SEATA-24_1,smt-7,check,0,false
SEATA-24_1,smt-7,solve,6,SAT
SEATA-24_1,smt-27,check,0,false
FASTJSON-79_1,smt-89,solve,25,UNSAT
FASTJSON-79_1,smt-89,update,1,
FASTJSON-79_1,smt-53,check,0,false
GUAVA-174_1,smt-57,solve,1006,SAT
FASTJSON-39_1,smt-7,solve,41,UNSAT
FASTJSON-39_1,smt-7,update,1,
GUAVA-174_1,smt-173,check,0,false
FASTJSON-39_1,smt-27,check,0,false
FASTJSON-79_1,smt-53,solve,22,UNSAT
FASTJSON-79_1,smt-53,update,1,
FASTJSON-79_1,smt-7,check,0,false
FASTJSON-39_1,smt-27,solve,9,UNSAT
FASTJSON-39_1,smt-27,update,1,
FASTJSON-104_1,smt-57,solve,1654,SAT
FASTJSON-39_1,smt-18,check,0,false
SPOON-151_1,smt-1121,solve,1020,UNSAT
SPOON-151_1,smt-1121,update,33,
FASTJSON-79_1,smt-7,solve,31,UNSAT
FASTJSON-79_1,smt-7,update,1,
SPOON-151_1,smt-57,check,0,false
FASTJSON-104_1,smt-90,check,0,false
FASTJSON-79_1,smt-27,check,0,false
GUAVA-174_1,smt-173,solve,117,SAT
GUAVA-174_1,smt-225,check,0,false
FASTJSON-79_1,smt-27,solve,36,UNSAT
FASTJSON-79_1,smt-27,update,1,
FASTJSON-79_1,smt-75,check,0,false
FASTJSON-79_1,smt-75,solve,5,UNSAT
FASTJSON-79_1,smt-75,update,1,
FASTJSON-79_1,smt-67,check,0,false
FASTJSON-79_1,smt-67,solve,5,UNSAT
FASTJSON-79_1,smt-67,update,1,
FASTJSON-79_1,smt-88,check,0,false
SPOON-151_1,smt-57,solve,60,UNSAT
SPOON-151_1,smt-57,update,1,
FASTJSON-79_1,smt-88,solve,16,UNSAT
FASTJSON-79_1,smt-88,update,1,
FASTJSON-79_1,smt-48,check,0,false
FASTJSON-79_1,smt-48,solve,4,UNSAT
SPOON-151_1,smt-804,check,0,false
FASTJSON-79_1,smt-48,update,1,
FASTJSON-79_1,smt-18,check,0,false
FASTJSON-79_1,smt-18,solve,16,UNSAT
FASTJSON-79_1,smt-18,update,1,
FASTJSON-79_1,smt-92,check,0,false
FASTJSON-79_1,smt-92,solve,20,UNSAT
FASTJSON-79_1,smt-92,update,1,
FASTJSON-79_1,smt-100,check,0,false
FASTJSON-79_1,smt-100,solve,28,UNSAT
FASTJSON-79_1,smt-100,update,2,
FASTJSON-79_1,smt-59,check,0,false
FASTJSON-79_1,smt-59,solve,15,UNSAT
FASTJSON-79_1,smt-59,update,0,
FASTJSON-79_1,smt-42,check,0,false
SPOON-151_1,smt-804,solve,161,UNSAT
SPOON-151_1,smt-804,update,1,
FASTJSON-79_1,smt-42,solve,17,UNSAT
FASTJSON-79_1,smt-42,update,1,
SPOON-151_1,smt-931,check,0,false
FASTJSON-79_1,smt-82,check,0,false
SEATA-24_1,smt-27,solve,1673,SAT
FASTJSON-79_1,smt-82,solve,29,UNSAT
FASTJSON-79_1,smt-82,update,1,
FASTJSON-79_1,smt-4,check,0,false
FASTJSON-79_1,smt-4,solve,7,SAT
SEATA-24_1,smt-18,check,0,false
FASTJSON-79_1,smt-66,check,0,false
FASTJSON-79_1,smt-66,solve,24,UNSAT
FASTJSON-79_1,smt-66,update,1,
FASTJSON-79_1,smt-85,check,0,false
FASTJSON-79_1,smt-85,solve,3,UNSAT
FASTJSON-79_1,smt-85,update,0,
FASTJSON-79_1,smt-104,check,0,false
SPOON-151_1,smt-931,solve,97,UNSAT
SPOON-151_1,smt-931,update,0,
GUAVA-174_1,smt-225,solve,227,UNSAT
GUAVA-174_1,smt-225,update,23,
SPOON-151_1,smt-311,check,0,false
FASTJSON-79_1,smt-104,solve,29,UNSAT
FASTJSON-79_1,smt-104,update,1,
SEATA-24_1,smt-18,solve,81,UNSAT
SEATA-24_1,smt-18,update,1,
GUAVA-174_1,smt-227,check,0,false
FASTJSON-79_1,smt-24,check,0,false
SEATA-24_1,smt-4,check,0,false
FASTJSON-79_1,smt-24,solve,17,UNSAT
FASTJSON-79_1,smt-24,update,0,
FASTJSON-79_1,smt-36,check,0,false
FASTJSON-79_1,smt-36,solve,28,UNSAT
FASTJSON-79_1,smt-36,update,0,
FASTJSON-79_1,smt-76,check,0,false
FASTJSON-79_1,smt-76,solve,32,UNSAT
FASTJSON-79_1,smt-76,update,1,
SPOON-151_1,smt-311,solve,145,UNSAT
SPOON-151_1,smt-311,update,0,
FASTJSON-79_1,smt-97,check,0,false
SPOON-151_1,smt-173,check,0,false
FASTJSON-79_1,smt-97,solve,27,UNSAT
FASTJSON-79_1,smt-97,update,0,
FASTJSON-79_1,smt-60,check,0,false
GUAVA-174_1,smt-227,solve,195,UNSAT
GUAVA-174_1,smt-227,update,1,
FASTJSON-104_1,smt-90,solve,2879,SAT
GUAVA-174_1,smt-90,check,0,false
FASTJSON-79_1,smt-60,solve,33,UNSAT
FASTJSON-79_1,smt-60,update,1,
FASTJSON-79_1,smt-38,check,0,false
SPOON-163_1,smt-27,solve,2358,SAT
GUAVA-174_1,smt-90,solve,31,UNSAT
GUAVA-174_1,smt-90,update,0,
SPOON-163_1,smt-18,check,0,false
GUAVA-174_1,smt-220,check,0,false
FASTJSON-104_1,smt-37,check,0,false
FASTJSON-79_1,smt-38,solve,21,UNSAT
FASTJSON-79_1,smt-38,update,1,
FASTJSON-104_1,smt-37,solve,3,UNSAT
SPOON-163_1,smt-18,solve,6,UNSAT
SPOON-163_1,smt-18,update,0,
FASTJSON-79_1,smt-45,check,0,false
SPOON-151_1,smt-173,solve,111,UNSAT
SPOON-163_1,smt-4,check,0,false
SPOON-151_1,smt-173,update,0,
FASTJSON-104_1,smt-37,update,25,
FASTJSON-104_1,smt-1,check,0,false
SPOON-163_1,smt-4,solve,5,SAT
SPOON-163_1,smt-24,check,0,false
SPOON-151_1,smt-887,check,0,false
FASTJSON-104_1,smt-1,solve,6,SAT
FASTJSON-79_1,smt-45,solve,20,UNSAT
FASTJSON-79_1,smt-45,update,0,
SPOON-163_1,smt-24,solve,9,SAT
FASTJSON-104_1,smt-87,check,0,false
FASTJSON-79_1,smt-64,check,0,false
FASTJSON-79_1,smt-64,solve,40,UNSAT
FASTJSON-79_1,smt-64,update,0,
SPOON-151_1,smt-887,solve,57,UNSAT
SPOON-151_1,smt-887,update,0,
FASTJSON-79_1,smt-25,check,0,false
SPOON-151_1,smt-825,check,0,false
FASTJSON-79_1,smt-25,solve,13,UNSAT
FASTJSON-79_1,smt-25,update,0,
FASTJSON-79_1,smt-32,check,0,false
SPOON-163_1,smt-25,check,0,false
GUAVA-174_1,smt-220,solve,276,UNSAT
FASTJSON-79_1,smt-32,solve,24,UNSAT
FASTJSON-79_1,smt-32,update,0,
