benchmark,cnt,sat,unsat,unknown,reusedUnsat,solvingTime,checkingTime,updatingTime
FASTJSON-39_1,41,33,8,0,1,12140,324,0
FASTJSON-17_1,8,6,2,0,0,18,0,0
SPOON-163_1,28,21,3,4,1,25689,130,0
SPOON-151_1,1198,131,1039,28,986,167223,75838,1
FASTJSON-104_1,102,78,21,3,9,38797,551,0
FASTJSON-79_1,113,2,111,0,107,12,64,0
FASTJSON-49_1,40,16,17,7,6,51200,4750,0
GUAVA-174_1,248,114,129,5,92,39369,21308,0
GUAVA-249_1,57,54,1,2,0,10143,63,0
GUAVA-78_1,169,96,60,13,20,150893,3245,0
GUAVA-260_1,479,238,236,5,145,27337,35152,0
SPOON-19_1,18,18,0,0,0,3962,0,0
SEATA-24_1,36,14,22,0,15,3288,180,0
FASTJSON-105_1,332,252,73,7,51,37195,1463,0
SPOON-167_1,12,11,1,0,0,1262,1,0
FASTJSON-26_1,285,92,185,8,50,120849,35844,0
SPOON-159_1,131,64,67,0,45,28004,1260,0
SPOON-13_1,23,5,12,6,10,31198,341,0
FASTJSON-93_1,85,45,40,0,28,167,43,0
GUAVA-71_1,209,122,83,4,45,22746,8671,0
SPOON-107_1,92,75,10,7,3,92970,737,0
SEATA-4_1,1,1,0,0,0,2,0,0
FASTJSON-50_1,271,196,50,25,23,150244,4305,0
GUAVA-197_1,62,51,9,2,7,38421,2109,0
GUAVA-275_1,119,44,72,3,51,16936,534,0
FASTJSON-72_1,94,41,53,0,30,198,420,0
FASTJSON-9_1,75,30,45,0,11,2512,559,0
FASTJSON-19_1,143,96,40,7,13,79477,1727,0
GUAVA-115_1,40,16,24,0,17,5571,239,0
SPOON-11_1,15,9,0,6,0,33258,0,0
FASTJSON-32_1,134,4,98,32,10,186338,28559,0
GUAVA-153_1,50,45,2,3,0,15064,31,0
FASTJSON-85_1,79,64,15,0,5,333,118,0
SEATA-14_1,76,31,45,0,40,418,322,0
GUAVA-85_1,137,57,70,10,56,87865,36234,0
FASTJSON-59_1,109,107,2,0,1,291,0,0
SEATA-32_1,18,7,11,0,6,5123,172,0
FASTJSON-64_1,32,25,7,0,2,2949,14,0
GUAVA-45_1,117,98,14,5,11,61014,5410,0
SPOON-165_1,41,12,17,12,8,61371,3318,0
FASTJSON-25_1,5,3,2,0,1,5,0,0
SPOON-101_1,27,15,8,4,2,20445,2158,0
SEATA-16_1,21,13,8,0,1,1149,41,0
GUAVA-110_1,211,134,63,14,28,93227,1573,0
FASTJSON-15_1,17,5,6,6,2,30058,24,0
SPOON-9_1,71,63,8,0,2,19551,3570,0
SPOON-169_1,17,6,5,6,2,31129,195,0
SPOON-157_1,25,17,2,6,0,31695,450,0
FASTJSON-4_1,157,82,75,0,42,1832,895,0
SPOON-155_1,77,14,62,1,49,14406,3662,0
FASTJSON-31_1,81,20,50,11,28,67997,878,0
GUAVA-114_1,461,35,309,117,0,635214,0,0
SPOON-103_1,23,6,11,6,4,32324,900,0
GUAVA-6_1,138,86,47,5,32,40638,519,0
