benchmark,cnt,sat,unsat,unknown,reusedUnsat,solvingTime,checkingTime,updatingTime
FASTJSON-39_1,41,33,8,0,1,11912,341,0
FASTJSON-17_1,8,6,2,0,0,19,0,0
SPOON-163_1,28,20,3,5,1,27416,205,0
SPOON-151_1,1198,130,1039,29,763,186920,48938,0
FASTJSON-104_1,102,78,21,3,6,39064,785,0
FASTJSON-79_1,113,2,111,0,102,39,136,0
FASTJSON-49_1,40,16,17,7,3,49923,4367,0
GUAVA-174_1,248,114,125,9,46,61829,12826,0
GUAVA-249_1,57,54,1,2,0,10128,81,0
GUAVA-78_1,169,92,60,17,4,167132,1727,0
GUAVA-260_1,479,238,236,5,35,28054,8240,0
SPOON-19_1,18,18,0,0,0,4043,0,0
SEATA-24_1,36,14,22,0,14,3325,310,0
FASTJSON-105_1,332,252,73,7,35,38229,1325,0
SPOON-167_1,12,11,1,0,0,1273,0,0
FASTJSON-26_1,285,93,185,7,10,125153,7297,0
SPOON-159_1,131,64,67,0,27,26856,1164,0
SPOON-13_1,23,5,12,6,9,31719,599,0
FASTJSON-93_1,85,45,40,0,28,183,65,0
GUAVA-71_1,209,122,83,4,24,23020,3621,0
SPOON-107_1,92,77,10,5,3,77521,808,0
SEATA-4_1,1,1,0,0,0,2,0,0
FASTJSON-50_1,271,195,50,26,10,147720,3243,0
GUAVA-197_1,62,53,9,0,7,22135,2258,0
GUAVA-275_1,119,44,72,3,39,19553,555,0
FASTJSON-72_1,94,41,53,0,21,252,322,0
FASTJSON-9_1,75,30,45,0,4,2600,447,0
FASTJSON-19_1,143,95,40,8,8,83410,1204,0
GUAVA-115_1,40,16,24,0,14,3104,364,0
SPOON-11_1,15,9,0,6,0,33308,0,0
FASTJSON-32_1,134,6,98,30,4,178808,9084,0
GUAVA-153_1,50,45,2,3,0,15068,39,0
FASTJSON-85_1,79,64,15,0,3,379,176,0
SEATA-14_1,76,31,45,0,37,527,446,0
GUAVA-85_1,137,57,70,10,45,90426,28189,0
FASTJSON-59_1,109,107,2,0,1,290,0,0
SEATA-32_1,18,7,11,0,4,4119,227,0
FASTJSON-64_1,32,25,7,0,1,1033,26,0
GUAVA-45_1,117,100,14,3,11,52435,6719,0
SPOON-165_1,41,12,16,13,7,67097,74254,0
FASTJSON-25_1,5,3,2,0,1,5,0,0
SPOON-101_1,27,15,8,4,2,20575,2347,0
SEATA-16_1,21,13,8,0,0,1451,77,0
GUAVA-110_1,211,134,63,14,19,92370,885,0
FASTJSON-15_1,17,5,6,6,1,30070,54,0
SPOON-9_1,71,62,8,1,3,27224,2989,0
SPOON-169_1,17,6,5,6,2,31155,248,0
SPOON-157_1,25,17,2,6,0,31760,567,0
FASTJSON-4_1,157,82,75,0,25,2137,549,0
SPOON-155_1,77,14,62,1,43,23993,7933,0
FASTJSON-31_1,81,20,50,11,14,66716,975,0
GUAVA-114_1,461,37,309,115,0,636563,0,0
SPOON-103_1,23,6,11,6,3,32397,908,0
GUAVA-6_1,138,85,47,6,27,41558,665,0
