benchmark,smt,event,duration,result
FASTJSON-39_1,smt-37,check,7,false
FASTJSON-39_1,smt-37,solve,19,UNSAT
FASTJSON-39_1,smt-37,update,0,
FASTJSON-39_1,smt-1,check,7,false
FASTJSON-39_1,smt-1,solve,2,SAT
FASTJSON-39_1,smt-31,check,7,false
FASTJSON-39_1,smt-31,solve,1,SAT
FASTJSON-39_1,smt-7,check,0,false
FASTJSON-39_1,smt-7,solve,10,UNSAT
FASTJSON-39_1,smt-7,update,0,
FASTJSON-39_1,smt-27,check,6,false
FASTJSON-39_1,smt-27,solve,2,UNSAT
FASTJSON-39_1,smt-27,update,0,
FASTJSON-39_1,smt-18,check,40,false
FASTJSON-39_1,smt-18,solve,1505,SAT
FASTJSON-39_1,smt-4,check,9,true
FASTJSON-39_1,smt-24,check,1,false
FASTJSON-39_1,smt-24,solve,1,SAT
FASTJSON-39_1,smt-36,check,2,false
FASTJSON-39_1,smt-36,solve,2,SAT
FASTJSON-39_1,smt-38,check,8,false
FASTJSON-39_1,smt-38,solve,336,SAT
FASTJSON-39_1,smt-25,check,11,false
FASTJSON-39_1,smt-25,solve,33,UNSAT
FASTJSON-39_1,smt-25,update,0,
FASTJSON-39_1,smt-32,check,6,false
FASTJSON-39_1,smt-32,solve,377,SAT
FASTJSON-39_1,smt-30,check,7,false
FASTJSON-39_1,smt-30,solve,364,SAT
FASTJSON-39_1,smt-40,check,5,false
FASTJSON-39_1,smt-40,solve,374,SAT
FASTJSON-39_1,smt-20,check,1,false
FASTJSON-39_1,smt-20,solve,2,SAT
FASTJSON-39_1,smt-3,check,4,false
FASTJSON-39_1,smt-3,solve,243,SAT
FASTJSON-39_1,smt-10,check,8,false
FASTJSON-39_1,smt-10,solve,347,SAT
FASTJSON-39_1,smt-13,check,1,false
FASTJSON-39_1,smt-13,solve,1,SAT
FASTJSON-39_1,smt-17,check,6,false
FASTJSON-39_1,smt-17,solve,351,SAT
FASTJSON-39_1,smt-21,check,7,false
FASTJSON-39_1,smt-21,solve,334,SAT
FASTJSON-39_1,smt-26,check,6,false
FASTJSON-39_1,smt-26,solve,354,SAT
FASTJSON-39_1,smt-39,check,2,false
FASTJSON-39_1,smt-39,solve,2,UNSAT
FASTJSON-39_1,smt-39,update,0,
FASTJSON-39_1,smt-2,check,0,false
FASTJSON-39_1,smt-2,solve,1,SAT
FASTJSON-39_1,smt-8,check,1,false
FASTJSON-39_1,smt-8,solve,1,UNSAT
FASTJSON-39_1,smt-8,update,0,
FASTJSON-39_1,smt-19,check,14,false
FASTJSON-39_1,smt-19,solve,347,SAT
FASTJSON-39_1,smt-33,check,23,false
FASTJSON-39_1,smt-33,solve,1680,SAT
FASTJSON-39_1,smt-35,check,22,false
FASTJSON-39_1,smt-35,solve,22,UNSAT
FASTJSON-39_1,smt-35,update,0,
FASTJSON-39_1,smt-28,check,12,false
FASTJSON-39_1,smt-28,solve,397,SAT
FASTJSON-39_1,smt-34,check,2,false
FASTJSON-39_1,smt-34,solve,2,SAT
FASTJSON-39_1,smt-11,check,13,false
FASTJSON-39_1,smt-11,solve,341,SAT
FASTJSON-39_1,smt-16,check,1,false
FASTJSON-39_1,smt-16,solve,1,SAT
FASTJSON-39_1,smt-9,check,10,false
FASTJSON-39_1,smt-9,solve,346,SAT
FASTJSON-39_1,smt-12,check,1,false
FASTJSON-39_1,smt-12,solve,1,SAT
FASTJSON-39_1,smt-22,check,8,false
FASTJSON-39_1,smt-22,solve,359,SAT
FASTJSON-39_1,smt-41,check,14,false
FASTJSON-39_1,smt-41,solve,358,SAT
FASTJSON-39_1,smt-6,check,0,false
FASTJSON-39_1,smt-6,solve,1,SAT
FASTJSON-39_1,smt-29,check,13,false
FASTJSON-39_1,smt-29,solve,390,SAT
FASTJSON-39_1,smt-5,check,19,false
FASTJSON-39_1,smt-5,solve,2020,SAT
FASTJSON-39_1,smt-15,check,9,false
FASTJSON-39_1,smt-15,solve,679,SAT
FASTJSON-39_1,smt-14,check,3,false
FASTJSON-39_1,smt-14,solve,2,SAT
FASTJSON-39_1,smt-23,check,25,false
FASTJSON-39_1,smt-23,solve,304,SAT
FASTJSON-17_1,smt-1,check,0,false
FASTJSON-17_1,smt-1,solve,1,SAT
FASTJSON-17_1,smt-7,check,0,false
FASTJSON-17_1,smt-7,solve,6,SAT
FASTJSON-17_1,smt-4,check,0,false
FASTJSON-17_1,smt-4,solve,2,SAT
FASTJSON-17_1,smt-3,check,0,false
FASTJSON-17_1,smt-3,solve,1,SAT
FASTJSON-17_1,smt-2,check,0,false
FASTJSON-17_1,smt-2,solve,1,SAT
FASTJSON-17_1,smt-8,check,0,false
FASTJSON-17_1,smt-8,solve,1,UNSAT
FASTJSON-17_1,smt-8,update,0,
FASTJSON-17_1,smt-6,check,0,false
FASTJSON-17_1,smt-6,solve,5,SAT
FASTJSON-17_1,smt-5,check,0,false
FASTJSON-17_1,smt-5,solve,2,UNSAT
FASTJSON-17_1,smt-5,update,0,
SPOON-163_1,smt-1,check,0,false
SPOON-163_1,smt-1,solve,1,SAT
SPOON-163_1,smt-7,check,0,false
SPOON-163_1,smt-7,solve,1,SAT
SPOON-163_1,smt-27,check,0,false
SPOON-163_1,smt-27,solve,933,SAT
SPOON-163_1,smt-18,check,0,false
SPOON-163_1,smt-18,solve,2,UNSAT
SPOON-163_1,smt-18,update,0,
SPOON-163_1,smt-4,check,0,false
SPOON-163_1,smt-4,solve,1,SAT
SPOON-163_1,smt-24,check,0,false
SPOON-163_1,smt-24,solve,3,SAT
SPOON-163_1,smt-25,check,35,false
SPOON-163_1,smt-25,solve,5001,UNKNOWN
SPOON-163_1,smt-20,check,1,true
SPOON-163_1,smt-3,check,0,false
SPOON-163_1,smt-3,solve,4,SAT
SPOON-163_1,smt-10,check,0,false
SPOON-163_1,smt-10,solve,71,SAT
SPOON-163_1,smt-13,check,0,false
SPOON-163_1,smt-13,solve,2,SAT
SPOON-163_1,smt-17,check,52,false
SPOON-163_1,smt-17,solve,5001,UNKNOWN
SPOON-163_1,smt-21,check,0,false
SPOON-163_1,smt-21,solve,3,SAT
SPOON-163_1,smt-26,check,12,false
SPOON-163_1,smt-26,solve,5001,UNKNOWN
SPOON-163_1,smt-2,check,0,false
SPOON-163_1,smt-2,solve,1,SAT
SPOON-163_1,smt-8,check,0,false
SPOON-163_1,smt-8,solve,1,SAT
SPOON-163_1,smt-19,check,26,false
SPOON-163_1,smt-19,solve,5002,UNKNOWN
SPOON-163_1,smt-28,check,49,false
SPOON-163_1,smt-28,solve,5005,UNKNOWN
SPOON-163_1,smt-11,check,0,false
SPOON-163_1,smt-11,solve,2,SAT
SPOON-163_1,smt-16,check,1,false
SPOON-163_1,smt-16,solve,121,UNSAT
SPOON-163_1,smt-16,update,0,
SPOON-163_1,smt-9,check,10,false
SPOON-163_1,smt-9,solve,394,SAT
SPOON-163_1,smt-12,check,0,false
SPOON-163_1,smt-12,solve,2,SAT
SPOON-163_1,smt-22,check,1,false
SPOON-163_1,smt-22,solve,3,SAT
SPOON-163_1,smt-6,check,0,false
SPOON-163_1,smt-6,solve,1,SAT
SPOON-163_1,smt-5,check,2,false
SPOON-163_1,smt-5,solve,349,SAT
SPOON-163_1,smt-15,check,0,false
SPOON-163_1,smt-15,solve,3,SAT
SPOON-163_1,smt-14,check,0,false
SPOON-163_1,smt-14,solve,3,SAT
SPOON-163_1,smt-23,check,16,false
SPOON-163_1,smt-23,solve,505,SAT
SPOON-151_1,smt-1121,check,0,false
SPOON-151_1,smt-1121,solve,1170,UNSAT
SPOON-151_1,smt-1121,update,0,
SPOON-151_1,smt-57,check,14,false
SPOON-151_1,smt-57,solve,14,UNSAT
SPOON-151_1,smt-57,update,0,
SPOON-151_1,smt-804,check,13,true
SPOON-151_1,smt-931,check,32,false
SPOON-151_1,smt-931,solve,34,UNSAT
SPOON-151_1,smt-931,update,0,
SPOON-151_1,smt-311,check,9,true
SPOON-151_1,smt-173,check,8,true
SPOON-151_1,smt-887,check,21,true
SPOON-151_1,smt-825,check,29,false
SPOON-151_1,smt-825,solve,35,UNSAT
SPOON-151_1,smt-825,update,0,
SPOON-151_1,smt-225,check,20,false
SPOON-151_1,smt-225,solve,12,UNSAT
SPOON-151_1,smt-225,update,0,
SPOON-151_1,smt-795,check,207,false
SPOON-151_1,smt-795,solve,109,UNSAT
SPOON-151_1,smt-795,update,0,
SPOON-151_1,smt-1173,check,34,true
SPOON-151_1,smt-952,check,6,true
SPOON-151_1,smt-908,check,38,true
SPOON-151_1,smt-227,check,37,false
SPOON-151_1,smt-227,solve,14,UNSAT
SPOON-151_1,smt-227,update,0,
SPOON-151_1,smt-560,check,39,true
SPOON-151_1,smt-361,check,38,false
SPOON-151_1,smt-361,solve,14,UNSAT
SPOON-151_1,smt-361,update,0,
SPOON-151_1,smt-730,check,75,true
SPOON-151_1,smt-622,check,19,true
SPOON-151_1,smt-935,check,65,false
SPOON-151_1,smt-935,solve,108,UNSAT
SPOON-151_1,smt-935,update,0,
SPOON-151_1,smt-271,check,26,true
SPOON-151_1,smt-731,check,10,true
SPOON-151_1,smt-1081,check,154,true
SPOON-151_1,smt-1001,check,46,true
SPOON-151_1,smt-517,check,151,false
SPOON-151_1,smt-517,solve,388,SAT
SPOON-151_1,smt-997,check,13,true
SPOON-151_1,smt-900,check,24,true
SPOON-151_1,smt-1036,check,58,false
SPOON-151_1,smt-1036,solve,15,UNSAT
SPOON-151_1,smt-1036,update,0,
SPOON-151_1,smt-362,check,63,true
SPOON-151_1,smt-394,check,39,true
SPOON-151_1,smt-1086,check,52,false
SPOON-151_1,smt-1086,solve,20,UNSAT
SPOON-151_1,smt-1086,update,0,
SPOON-151_1,smt-1008,check,19,true
SPOON-151_1,smt-90,check,47,false
SPOON-151_1,smt-90,solve,15,UNSAT
SPOON-151_1,smt-90,update,0,
SPOON-151_1,smt-769,check,12,true
SPOON-151_1,smt-220,check,34,true
SPOON-151_1,smt-500,check,63,false
SPOON-151_1,smt-500,solve,19,UNSAT
SPOON-151_1,smt-500,update,0,
SPOON-151_1,smt-305,check,10,true
SPOON-151_1,smt-745,check,107,true
SPOON-151_1,smt-586,check,55,true
SPOON-151_1,smt-1148,check,52,false
SPOON-151_1,smt-1148,solve,81,SAT
SPOON-151_1,smt-191,check,18,true
SPOON-151_1,smt-713,check,114,true
SPOON-151_1,smt-499,check,20,true
SPOON-151_1,smt-1048,check,78,false
SPOON-151_1,smt-1048,solve,268,SAT
SPOON-151_1,smt-1007,check,24,true
SPOON-151_1,smt-1111,check,10,true
SPOON-151_1,smt-37,check,36,false
SPOON-151_1,smt-37,solve,90,SAT
SPOON-151_1,smt-856,check,16,true
SPOON-151_1,smt-696,check,56,false
SPOON-151_1,smt-696,solve,22,UNSAT
SPOON-151_1,smt-696,update,0,
SPOON-151_1,smt-1123,check,6,true
SPOON-151_1,smt-1,check,1,false
SPOON-151_1,smt-1,solve,2,SAT
SPOON-151_1,smt-650,check,25,true
SPOON-151_1,smt-1033,check,3,true
SPOON-151_1,smt-142,check,15,true
SPOON-151_1,smt-765,check,42,true
SPOON-151_1,smt-162,check,42,false
SPOON-151_1,smt-162,solve,16,UNSAT
SPOON-151_1,smt-162,update,0,
SPOON-151_1,smt-474,check,90,true
SPOON-151_1,smt-87,check,32,true
SPOON-151_1,smt-909,check,73,false
SPOON-151_1,smt-909,solve,15,UNSAT
SPOON-151_1,smt-909,update,0,
SPOON-151_1,smt-1127,check,171,false
SPOON-151_1,smt-1127,solve,58,UNSAT
SPOON-151_1,smt-1127,update,0,
SPOON-151_1,smt-386,check,55,false
SPOON-151_1,smt-386,solve,27,UNSAT
SPOON-151_1,smt-386,update,0,
SPOON-151_1,smt-1058,check,15,true
SPOON-151_1,smt-708,check,45,false
SPOON-151_1,smt-708,solve,279,SAT
SPOON-151_1,smt-1043,check,23,true
SPOON-151_1,smt-609,check,182,false
SPOON-151_1,smt-609,solve,81,UNSAT
SPOON-151_1,smt-609,update,0,
SPOON-151_1,smt-1177,check,56,false
SPOON-151_1,smt-1177,solve,17,UNSAT
SPOON-151_1,smt-1177,update,0,
SPOON-151_1,smt-956,check,13,true
SPOON-151_1,smt-872,check,50,false
SPOON-151_1,smt-872,solve,682,SAT
SPOON-151_1,smt-533,check,40,true
SPOON-151_1,smt-412,check,73,false
SPOON-151_1,smt-412,solve,320,SAT
SPOON-151_1,smt-581,check,28,false
SPOON-151_1,smt-581,solve,207,SAT
SPOON-151_1,smt-158,check,7,true
SPOON-151_1,smt-392,check,20,true
SPOON-151_1,smt-264,check,22,true
SPOON-151_1,smt-508,check,45,true
SPOON-151_1,smt-237,check,28,true
SPOON-151_1,smt-282,check,56,false
SPOON-151_1,smt-282,solve,14,UNSAT
SPOON-151_1,smt-282,update,0,
SPOON-151_1,smt-325,check,53,false
SPOON-151_1,smt-325,solve,117,SAT
SPOON-151_1,smt-489,check,36,true
SPOON-151_1,smt-1140,check,123,false
SPOON-151_1,smt-1140,solve,44,UNSAT
SPOON-151_1,smt-1140,update,0,
SPOON-151_1,smt-648,check,72,false
SPOON-151_1,smt-648,solve,48,UNSAT
SPOON-151_1,smt-648,update,0,
SPOON-151_1,smt-323,check,6,true
SPOON-151_1,smt-266,check,5,true
SPOON-151_1,smt-395,check,9,true
SPOON-151_1,smt-976,check,29,true
SPOON-151_1,smt-979,check,43,true
SPOON-151_1,smt-562,check,19,true
SPOON-151_1,smt-270,check,56,false
SPOON-151_1,smt-270,solve,33,UNSAT
SPOON-151_1,smt-270,update,0,
SPOON-151_1,smt-891,check,26,true
SPOON-151_1,smt-801,check,86,true
SPOON-151_1,smt-591,check,35,true
SPOON-151_1,smt-31,check,4,true
SPOON-151_1,smt-89,check,32,false
SPOON-151_1,smt-89,solve,16,UNSAT
SPOON-151_1,smt-89,update,0,
SPOON-151_1,smt-944,check,31,true
SPOON-151_1,smt-597,check,25,false
SPOON-151_1,smt-597,solve,10,UNSAT
SPOON-151_1,smt-597,update,0,
SPOON-151_1,smt-53,check,33,false
SPOON-151_1,smt-53,solve,41,SAT
SPOON-151_1,smt-675,check,42,true
SPOON-151_1,smt-845,check,41,false
SPOON-151_1,smt-845,solve,18,UNSAT
SPOON-151_1,smt-845,update,0,
SPOON-151_1,smt-719,check,47,true
SPOON-151_1,smt-607,check,20,true
SPOON-151_1,smt-557,check,15,true
SPOON-151_1,smt-939,check,57,true
SPOON-151_1,smt-961,check,34,true
SPOON-151_1,smt-7,check,7,false
