benchmark,cnt,sat,unsat,unknown,reusedUnsat,solvingTime,checkingTime,updatingTime
FASTJSON-39_1,41,33,8,0,2,14363,190,0
FASTJSON-17_1,8,6,2,0,0,17,0,0
SPOON-163_1,28,21,3,4,1,25383,4659,0
SPOON-151_1,1198,131,1039,28,988,162014,6765,1
FASTJSON-104_1,102,77,21,4,9,41876,395,0
FASTJSON-79_1,113,2,111,0,107,11,40,0
FASTJSON-49_1,40,17,17,6,6,48771,883,0
GUAVA-174_1,248,114,131,3,91,31104,3069,0
GUAVA-249_1,57,54,1,2,0,10145,78,0
GUAVA-78_1,169,90,60,19,22,153420,236,0
GUAVA-260_1,479,238,236,5,142,27473,2097,0
SPOON-19_1,18,18,0,0,0,4089,0,0
SEATA-24_1,36,14,22,0,16,3102,43,0
FASTJSON-105_1,332,252,73,7,51,37243,345,0
SPOON-167_1,12,11,1,0,0,1312,0,0
FASTJSON-26_1,285,92,185,8,49,123810,3321,0
SPOON-159_1,131,63,67,1,44,30838,78,0
SPOON-13_1,23,5,12,6,9,31834,981,0
FASTJSON-93_1,85,45,40,0,30,167,33,0
GUAVA-71_1,209,122,83,4,45,23014,334,0
SPOON-107_1,92,73,10,9,3,96613,215,0
SEATA-4_1,1,1,0,0,0,5,0,0
FASTJSON-50_1,271,196,50,25,20,145350,664,0
GUAVA-197_1,62,53,9,0,7,28296,167,0
GUAVA-275_1,119,45,72,2,52,16965,8,0
FASTJSON-72_1,94,41,53,0,31,188,14,0
FASTJSON-9_1,75,30,45,0,12,2312,28,0
FASTJSON-19_1,143,96,40,7,14,80114,166,0
GUAVA-115_1,40,16,24,0,17,4982,34,0
SPOON-11_1,15,9,0,6,0,33289,0,0
FASTJSON-32_1,134,2,98,34,14,186532,2364,0
GUAVA-153_1,50,45,2,3,0,15068,32,0
FASTJSON-85_1,79,64,15,0,5,354,0,0
SEATA-14_1,76,31,45,0,38,475,15,0
GUAVA-85_1,137,57,69,11,54,84878,2812,0
FASTJSON-59_1,109,107,2,0,1,289,0,0
SEATA-32_1,18,7,11,0,4,5402,53,0
FASTJSON-64_1,32,25,7,0,2,915,13,0
GUAVA-45_1,117,103,14,0,11,36030,363,0
SPOON-165_1,41,12,17,12,8,61734,7738,0
FASTJSON-25_1,5,3,2,0,1,4,0,0
SPOON-101_1,27,15,8,4,1,20595,82203,0
SEATA-16_1,21,13,8,0,0,1122,3,0
GUAVA-110_1,211,133,63,15,32,93640,65,0
FASTJSON-15_1,17,5,6,6,2,30058,3,0
SPOON-9_1,71,63,8,0,3,17615,268,0
SPOON-169_1,17,6,5,6,2,31152,516,0
SPOON-157_1,25,17,2,6,0,31741,153423,0
FASTJSON-4_1,157,82,75,0,43,4392,48,0
SPOON-155_1,77,14,62,1,47,17888,11389,0
FASTJSON-31_1,81,20,50,11,29,67587,172,0
GUAVA-114_1,461,36,309,116,0,633796,0,0
SPOON-103_1,23,6,11,6,5,31946,941,0
GUAVA-6_1,138,86,47,5,31,39050,255,0
