benchmark,cnt,sat,unsat,unknown,reusedUnsat,solvingTime,checkingTime,updatingTime
FASTJSON-39_1,41,32,8,1,0,17993,123,0
FASTJSON-17_1,8,6,2,0,0,20,0,0
SPOON-163_1,28,21,3,4,1,26604,245,0
SPOON-151_1,1198,130,1039,29,992,188790,5073,1
FASTJSON-104_1,102,77,21,4,8,44881,74,0
FASTJSON-79_1,113,2,111,0,104,36,1,0
FASTJSON-49_1,40,17,17,6,6,51447,396,0
GUAVA-174_1,248,114,130,4,90,37379,2518,0
GUAVA-249_1,57,54,1,2,0,10180,108,0
GUAVA-78_1,169,89,60,20,21,160529,172,0
GUAVA-260_1,479,238,236,5,140,28146,5473,0
SPOON-19_1,18,18,0,0,0,4517,0,0
SEATA-24_1,36,14,22,0,17,4984,31,0
FASTJSON-105_1,332,252,73,7,31,39826,504,0
SPOON-167_1,12,11,1,0,0,1524,0,0
FASTJSON-26_1,285,91,185,9,47,146774,4554,0
SPOON-159_1,131,58,67,6,44,36572,69,0
SPOON-13_1,23,5,12,6,9,31955,92,0
FASTJSON-93_1,85,45,40,0,31,185,1,0
GUAVA-71_1,209,122,83,4,45,23493,712,0
SPOON-107_1,92,78,10,4,4,82112,118,0
SEATA-4_1,1,1,0,0,0,3,0,0
FASTJSON-50_1,271,197,50,24,23,143980,240,0
GUAVA-197_1,62,52,9,1,7,36217,260,0
GUAVA-275_1,119,45,72,2,53,12271,15,0
FASTJSON-72_1,94,41,53,0,32,210,4,0
FASTJSON-9_1,75,30,45,0,12,3258,45,0
FASTJSON-19_1,143,97,40,6,14,89839,73,0
GUAVA-115_1,40,16,24,0,8,4912,20,0
SPOON-11_1,15,9,0,6,0,33513,0,0
FASTJSON-32_1,134,2,98,34,32,185543,1170,9
GUAVA-153_1,50,45,2,3,0,15079,33,0
FASTJSON-85_1,79,64,15,0,5,446,0,0
SEATA-14_1,76,31,45,0,41,546,0,0
GUAVA-85_1,137,57,69,11,52,91221,1446,0
FASTJSON-59_1,109,107,2,0,1,329,0,0
SEATA-32_1,18,7,11,0,6,6642,16,0
FASTJSON-64_1,32,25,7,0,2,3409,2,0
GUAVA-45_1,117,101,14,2,11,49927,356,0
SPOON-165_1,41,12,17,12,8,61246,587,0
FASTJSON-25_1,5,3,2,0,1,5,0,0
SPOON-101_1,27,15,8,4,1,20530,2190,0
SEATA-16_1,21,13,8,0,1,1033,0,0
GUAVA-110_1,211,134,63,14,34,95225,40,0
FASTJSON-15_1,17,5,6,6,1,30080,2,0
SPOON-9_1,71,60,8,3,3,30798,317,0
SPOON-169_1,17,6,5,6,2,31351,49,0
SPOON-157_1,25,17,2,6,0,31997,449,0
FASTJSON-4_1,157,82,75,0,43,2865,48,0
SPOON-155_1,77,14,62,1,47,21053,777,0
FASTJSON-31_1,81,18,50,13,28,75124,62,0
GUAVA-114_1,461,36,309,116,0,643716,0,0
SPOON-103_1,23,6,11,6,3,32719,97,0
GUAVA-6_1,138,85,47,6,32,45637,33,0
