benchmark,smt,event,duration,result
FASTJSON-39_1,smt-37,check,9,false
FASTJSON-39_1,smt-37,solve,25,UNSAT
FASTJSON-39_1,smt-37,update,0,
FASTJSON-39_1,smt-1,check,6,false
FASTJSON-39_1,smt-1,solve,2,SAT
FASTJSON-39_1,smt-31,check,14,false
FASTJSON-39_1,smt-31,solve,2,SAT
FASTJSON-39_1,smt-7,check,5,false
FASTJSON-39_1,smt-7,solve,14,UNSAT
FASTJSON-39_1,smt-7,update,0,
FASTJSON-39_1,smt-27,check,5,false
FASTJSON-39_1,smt-27,solve,5,UNSAT
FASTJSON-39_1,smt-27,update,0,
FASTJSON-39_1,smt-18,check,26,false
FASTJSON-39_1,smt-18,solve,2427,SAT
FASTJSON-39_1,smt-4,check,9,false
FASTJSON-39_1,smt-4,solve,17,UNSAT
FASTJSON-39_1,smt-4,update,0,
FASTJSON-39_1,smt-24,check,1,false
FASTJSON-39_1,smt-24,solve,2,SAT
FASTJSON-39_1,smt-36,check,2,false
FASTJSON-39_1,smt-36,solve,4,SAT
FASTJSON-39_1,smt-38,check,2,false
FASTJSON-39_1,smt-38,solve,372,SAT
FASTJSON-39_1,smt-25,check,7,false
FASTJSON-39_1,smt-25,solve,47,UNSAT
FASTJSON-39_1,smt-25,update,0,
FASTJSON-39_1,smt-32,check,3,false
FASTJSON-39_1,smt-32,solve,405,SAT
FASTJSON-39_1,smt-30,check,2,false
FASTJSON-39_1,smt-30,solve,424,SAT
FASTJSON-39_1,smt-40,check,2,false
FASTJSON-39_1,smt-40,solve,429,SAT
FASTJSON-39_1,smt-20,check,0,false
FASTJSON-39_1,smt-20,solve,2,SAT
FASTJSON-39_1,smt-3,check,1,false
FASTJSON-39_1,smt-3,solve,281,SAT
FASTJSON-39_1,smt-10,check,2,false
FASTJSON-39_1,smt-10,solve,431,SAT
FASTJSON-39_1,smt-13,check,0,false
FASTJSON-39_1,smt-13,solve,1,SAT
FASTJSON-39_1,smt-17,check,2,false
FASTJSON-39_1,smt-17,solve,426,SAT
FASTJSON-39_1,smt-21,check,1,false
FASTJSON-39_1,smt-21,solve,377,SAT
FASTJSON-39_1,smt-26,check,1,false
FASTJSON-39_1,smt-26,solve,389,SAT
FASTJSON-39_1,smt-39,check,1,false
FASTJSON-39_1,smt-39,solve,2,UNSAT
FASTJSON-39_1,smt-39,update,0,
