benchmark,cnt,sat,unsat,unknown,reusedUnsat,solvingTime,checkingTime,updatingTime
FASTJSON-39_1,41,33,8,0,0,11917,33,0
FASTJSON-17_1,8,6,2,0,0,17,0,0
SPOON-163_1,28,21,3,4,1,25330,9,0
SPOON-151_1,1198,131,1038,29,888,182532,531,0
FASTJSON-104_1,102,78,21,3,5,38932,1,0
FASTJSON-79_1,113,2,111,0,107,11,0,0
FASTJSON-49_1,40,16,17,7,2,48414,35,0
GUAVA-174_1,248,114,124,10,4,68577,558,0
GUAVA-249_1,57,54,1,2,0,10130,5,0
GUAVA-78_1,169,91,60,18,18,160447,7,0
GUAVA-260_1,479,238,236,5,113,27697,678,0
SPOON-19_1,18,18,0,0,0,3952,0,0
SEATA-24_1,36,14,22,0,1,3793,0,0
FASTJSON-105_1,332,253,73,6,48,35660,48,0
SPOON-167_1,12,11,1,0,0,1253,0,0
FASTJSON-26_1,285,91,185,9,27,119019,839,0
SPOON-159_1,131,64,67,0,37,31671,7,0
SPOON-13_1,23,5,12,6,4,34057,0,0
FASTJSON-93_1,85,45,40,0,13,192,0,0
GUAVA-71_1,209,122,83,4,41,23056,253,0
SPOON-107_1,92,77,10,5,2,81638,8,0
SEATA-4_1,1,1,0,0,0,2,0,0
FASTJSON-50_1,271,196,50,25,11,146134,41,0
GUAVA-197_1,62,52,9,1,0,27551,28,0
GUAVA-275_1,119,45,72,2,11,18974,0,0
FASTJSON-72_1,94,41,53,0,11,308,0,0
FASTJSON-9_1,75,30,45,0,5,2295,1,0
FASTJSON-19_1,143,96,40,7,9,80282,0,0
GUAVA-115_1,40,16,24,0,16,2979,0,0
SPOON-11_1,15,9,0,6,0,33252,0,0
FASTJSON-32_1,134,5,98,31,2,184515,507,0
GUAVA-153_1,50,45,2,3,0,15069,1,0
FASTJSON-85_1,79,64,15,0,3,357,0,0
SEATA-14_1,76,31,45,0,10,722,0,0
GUAVA-85_1,137,57,71,9,6,94766,785,0
FASTJSON-59_1,109,107,2,0,0,287,0,0
SEATA-32_1,18,7,11,0,0,4845,0,0
FASTJSON-64_1,32,25,7,0,1,3040,0,0
GUAVA-45_1,117,101,14,2,1,65316,28,0
SPOON-165_1,41,12,16,13,5,66943,98,0
FASTJSON-25_1,5,3,2,0,0,6,0,0
SPOON-101_1,27,15,8,4,1,20518,27,0
SEATA-16_1,21,13,8,0,0,1139,0,0
GUAVA-110_1,211,133,63,15,21,94264,0,0
FASTJSON-15_1,17,5,6,6,0,30084,0,0
SPOON-9_1,71,61,8,2,1,26697,32,0
SPOON-169_1,17,6,5,6,0,31807,0,0
SPOON-157_1,25,17,2,6,0,31757,15,0
FASTJSON-4_1,157,82,75,0,37,4473,0,0
SPOON-155_1,77,14,62,1,46,13800,11,0
FASTJSON-31_1,81,20,50,11,18,67028,1,0
GUAVA-114_1,461,37,309,115,0,637290,138482,0
SPOON-103_1,23,6,11,6,0,33829,3,0
GUAVA-6_1,138,85,47,6,16,40652,0,0
