benchmark,cnt,sat,unsat,unknown,reusedUnsat,solvingTime,checkingTime,updatingTime
FASTJSON-17_1,8,6,2,0,0,149,19,48
FASTJSON-79_1,113,2,111,0,102,179,169,72
FASTJSON-39_1,41,31,8,2,0,27107,2,3
SEATA-24_1,36,14,22,0,1,12018,0,0
SPOON-163_1,28,20,3,5,1,29862,32,26
FASTJSON-104_1,102,77,21,4,5,72670,4,26
GUAVA-260_1,479,238,236,5,17,33538,335,112
SPOON-167_1,12,11,1,0,0,2546,0,0
SPOON-19_1,18,18,0,0,0,8971,0,0
GUAVA-249_1,57,54,1,2,0,10341,8,0
FASTJSON-49_1,40,14,16,10,2,62277,74,20
FASTJSON-105_1,332,252,73,7,31,43423,66,0
GUAVA-6_1,138,82,47,9,11,62379,4,0
FASTJSON-93_1,85,45,40,0,4,779,1,3
GUAVA-174_1,248,114,124,10,0,90603,346,3
SEATA-4_1,1,1,0,0,0,5,0,0
SPOON-159_1,131,57,67,7,20,40119,10,0
GUAVA-71_1,209,122,83,4,19,27848,195,0
SPOON-13_1,23,5,12,6,3,40617,30,0
FASTJSON-72_1,94,41,53,0,6,1059,0,5
GUAVA-275_1,119,44,72,3,5,22072,0,0
FASTJSON-9_1,75,29,45,1,2,10089,0,0
GUAVA-115_1,40,16,24,0,12,9673,3,0
GUAVA-78_1,169,81,58,30,5,220761,11,0
SPOON-107_1,92,65,10,17,2,137966,27,0
GUAVA-197_1,62,48,9,5,0,72235,123,0
SEATA-14_1,76,31,45,0,5,2112,0,0
FASTJSON-85_1,79,64,15,0,2,1174,0,0
GUAVA-153_1,50,45,2,3,0,15241,4,0
FASTJSON-59_1,109,107,2,0,0,835,0,0
SPOON-11_1,15,9,0,6,0,36748,0,0
FASTJSON-64_1,32,25,7,0,0,2325,0,0
FASTJSON-19_1,143,92,40,11,5,144912,4,0
SEATA-32_1,18,7,11,0,0,13133,0,0
FASTJSON-50_1,271,194,50,27,6,175193,38,0
FASTJSON-25_1,5,3,2,0,0,18,0,0
FASTJSON-26_1,285,71,185,29,3,204164,189,0
SEATA-16_1,21,13,8,0,0,2465,0,0
FASTJSON-15_1,17,5,6,6,0,30263,0,0
SPOON-101_1,27,15,8,4,1,20343,90,0
SPOON-151_1,1198,130,1038,30,468,276673,401,45
SPOON-9_1,71,62,8,1,1,40477,102,0
FASTJSON-32_1,134,1,98,35,0,202083,202,0
SPOON-169_1,17,6,5,6,0,33908,9,0
FASTJSON-4_1,157,81,75,1,22,6344,0,1
SPOON-165_1,41,12,16,13,4,67997,318,0
GUAVA-110_1,211,131,63,17,5,121394,0,1
SPOON-155_1,77,12,58,7,38,56739,354,0
SPOON-157_1,25,17,2,6,0,33895,22,0
SPOON-103_1,23,6,11,6,0,39181,18,0
FASTJSON-31_1,81,17,50,14,8,83643,9,0
GUAVA-45_1,117,99,14,4,0,102405,234,2
GUAVA-85_1,137,53,69,15,1,143726,809,3
GUAVA-114_1,461,36,309,116,0,654660,13301,2384
