benchmark,cnt,sat,unsat,unknown,reusedUnsat,solvingTime,checkingTime,updatingTime
FASTJSON-39_1,41,33,8,0,0,15752,32,0
FASTJSON-17_1,8,6,2,0,0,17,0,0
SPOON-163_1,28,20,3,5,1,26991,16,0
SPOON-151_1,1198,131,1039,28,467,197186,119,0
FASTJSON-104_1,102,77,21,4,1,41336,0,0
FASTJSON-79_1,113,2,111,0,103,35,0,0
FASTJSON-49_1,40,17,17,6,0,46769,32,0
GUAVA-174_1,248,114,125,9,1,61675,66,0
GUAVA-249_1,57,54,1,2,0,10140,3,0
GUAVA-78_1,169,92,60,17,7,162491,0,0
GUAVA-260_1,479,238,236,5,16,28053,64,0
SPOON-19_1,18,18,0,0,0,4109,0,0
SEATA-24_1,36,14,22,0,1,4102,0,0
FASTJSON-105_1,332,252,73,7,36,38258,30,0
SPOON-167_1,12,11,1,0,0,1299,0,0
FASTJSON-26_1,285,93,185,7,6,123094,42,0
SPOON-159_1,131,63,67,1,20,33132,0,0
SPOON-13_1,23,5,12,6,3,34729,5,0
FASTJSON-93_1,85,45,40,0,5,208,0,0
GUAVA-71_1,209,122,83,4,17,23132,66,0
SPOON-107_1,92,79,10,3,1,78085,8,0
SEATA-4_1,1,1,0,0,0,3,0,0
FASTJSON-50_1,271,196,50,25,5,148837,1,0
GUAVA-197_1,62,53,9,0,0,24119,30,0
GUAVA-275_1,119,44,72,3,4,16654,0,0
FASTJSON-72_1,94,41,53,0,7,373,0,0
FASTJSON-9_1,75,30,45,0,2,2418,0,0
FASTJSON-19_1,143,97,40,6,6,80174,0,0
GUAVA-115_1,40,16,24,0,10,3046,0,0
SPOON-11_1,15,9,0,6,0,33239,0,0
FASTJSON-32_1,134,4,98,32,1,186398,38,0
GUAVA-153_1,50,45,2,3,0,15072,1,0
FASTJSON-85_1,79,64,15,0,1,343,0,0
SEATA-14_1,76,31,45,0,4,779,0,0
GUAVA-85_1,137,56,70,11,2,98385,208,0
FASTJSON-59_1,109,107,2,0,0,300,0,0
SEATA-32_1,18,7,11,0,0,5822,0,0
FASTJSON-64_1,32,25,7,0,1,1002,0,0
GUAVA-45_1,117,97,14,6,0,68412,25,0
SPOON-165_1,41,12,16,13,5,67177,80,0
FASTJSON-25_1,5,3,2,0,0,6,0,0
SPOON-101_1,27,15,8,4,1,20548,19,0
SEATA-16_1,21,13,8,0,0,1149,0,0
GUAVA-110_1,211,134,63,14,9,93466,0,0
FASTJSON-15_1,17,5,6,6,0,30080,0,0
SPOON-9_1,71,63,8,0,0,16953,27,0
SPOON-169_1,17,6,5,6,0,31804,0,0
SPOON-157_1,25,17,2,6,0,31735,15,0
FASTJSON-4_1,157,82,75,0,23,2560,0,0
SPOON-155_1,77,14,62,1,43,20485,71,0
FASTJSON-31_1,81,20,50,11,7,67049,0,0
GUAVA-114_1,461,36,309,116,0,636491,8625,0
SPOON-103_1,23,6,11,6,0,33901,2,0
GUAVA-6_1,138,85,47,6,7,42778,1,0
