benchmark,cnt,sat,unsat,unknown,reusedUnsat,solvingTime,checkingTime,updatingTime
FASTJSON-17_1,8,6,2,0,0,160,21,6
FASTJSON-79_1,113,2,111,0,99,252,1151,117
FASTJSON-39_1,41,31,8,2,0,29634,1141,84
SPOON-163_1,28,20,3,5,1,30917,2332,26
GUAVA-249_1,57,54,1,2,0,10467,376,0
FASTJSON-105_1,332,252,73,7,35,44600,7788,40
SPOON-19_1,18,18,0,0,0,10003,0,0
SPOON-167_1,12,11,1,0,0,3088,3,0
GUAVA-6_1,138,82,47,9,10,66087,6805,0
SEATA-24_1,36,14,22,0,0,11165,905,0
GUAVA-260_1,479,238,236,5,14,34405,9909,72
SPOON-159_1,131,57,67,7,15,40691,2356,0
FASTJSON-49_1,40,14,15,11,2,65278,14416,0
FASTJSON-93_1,85,45,40,0,6,657,87,0
FASTJSON-104_1,102,77,21,4,3,76392,3076,0
SEATA-4_1,1,1,0,0,0,8,0,0
SPOON-13_1,23,5,12,6,2,41198,12890,0
GUAVA-174_1,248,114,123,11,0,95139,15685,5
FASTJSON-72_1,94,41,53,0,4,1087,616,0
FASTJSON-9_1,75,30,45,0,2,7822,813,0
GUAVA-71_1,209,122,83,4,16,28198,6333,0
GUAVA-275_1,119,43,72,4,4,23506,414,1
GUAVA-115_1,40,16,24,0,10,9380,741,0
GUAVA-78_1,169,82,58,29,9,209237,4822,1
SPOON-107_1,92,62,10,20,2,141983,2504,0
SPOON-11_1,15,9,0,6,0,36133,0,0
FASTJSON-59_1,109,107,2,0,0,864,2,0
GUAVA-197_1,62,50,9,3,0,59216,2312,0
FASTJSON-85_1,79,64,15,0,2,1092,179,0
SEATA-14_1,76,31,45,0,5,2013,686,0
FASTJSON-64_1,32,25,7,0,1,5042,156,0
GUAVA-153_1,50,45,2,3,0,15223,135,0
FASTJSON-19_1,143,93,40,10,7,148531,4444,0
SEATA-32_1,18,7,11,0,0,13912,577,0
FASTJSON-25_1,5,3,2,0,0,21,0,0
FASTJSON-26_1,285,73,185,27,7,204891,28172,0
FASTJSON-50_1,271,195,50,26,6,182337,10168,0
SEATA-16_1,21,13,8,0,0,2805,64,0
FASTJSON-15_1,17,5,6,6,0,30192,70,0
SPOON-101_1,27,15,8,4,1,20396,42535,0
SPOON-9_1,71,60,8,3,1,41262,3227,0
GUAVA-110_1,211,132,63,16,11,119055,1953,0
FASTJSON-4_1,157,81,75,1,25,6371,836,0
SPOON-169_1,17,6,5,6,0,34330,3875,0
SPOON-151_1,1198,130,1035,33,434,331761,46281,34
GUAVA-45_1,117,99,14,4,0,92639,7585,0
FASTJSON-32_1,134,0,98,36,0,202882,22698,0
GUAVA-85_1,137,52,69,16,2,141284,20755,2
SPOON-155_1,77,12,61,4,42,35068,39522,0
SPOON-165_1,41,12,16,13,5,67685,135476,0
FASTJSON-31_1,81,17,50,14,7,82502,3434,0
SPOON-103_1,23,6,11,6,0,37246,8173,0
SPOON-157_1,25,17,2,6,0,32647,12619,0
GUAVA-114_1,461,35,309,117,0,654237,100724,2399
