benchmark,cnt,sat,unsat,unknown,reusedUnsat,solvingTime,checkingTime,updatingTime
FASTJSON-39_1,41,33,8,0,0,13860,0,0
FASTJSON-17_1,8,6,2,0,0,15,0,0
SPOON-163_1,28,21,3,4,0,25827,0,0
SPOON-151_1,1198,131,1039,28,0,233724,0,0
FASTJSON-104_1,102,78,21,3,0,39803,0,0
FASTJSON-79_1,113,2,111,0,0,658,0,0
FASTJSON-49_1,40,16,17,7,0,52319,0,0
GUAVA-174_1,248,114,125,9,0,66762,0,1
GUAVA-249_1,57,54,1,2,0,10134,0,0
GUAVA-78_1,169,91,60,18,0,163462,0,0
GUAVA-260_1,479,238,236,5,0,28161,0,0
SPOON-19_1,18,18,0,0,0,3935,0,0
SEATA-24_1,36,14,22,0,0,3078,0,0
FASTJSON-105_1,332,252,73,7,0,39693,0,0
SPOON-167_1,12,11,1,0,0,1245,0,0
FASTJSON-26_1,285,93,185,7,0,123058,0,0
SPOON-159_1,131,64,67,0,0,28555,0,0
SPOON-13_1,23,5,12,6,0,36246,0,0
FASTJSON-93_1,85,45,40,0,0,211,0,0
GUAVA-71_1,209,122,83,4,0,23215,0,0
SPOON-107_1,92,77,10,5,0,86378,0,0
SEATA-4_1,1,1,0,0,0,2,0,0
FASTJSON-50_1,271,196,50,25,0,147693,0,0
GUAVA-197_1,62,53,9,0,0,23774,0,0
GUAVA-275_1,119,44,72,3,0,19317,0,0
FASTJSON-72_1,94,41,53,0,0,434,0,0
FASTJSON-9_1,75,30,45,0,0,2932,0,0
FASTJSON-19_1,143,97,40,6,0,76640,0,0
GUAVA-115_1,40,16,24,0,0,3862,0,0
SPOON-11_1,15,9,0,6,0,33216,0,0
FASTJSON-32_1,134,5,98,31,0,183991,0,0
GUAVA-153_1,50,45,2,3,0,15066,0,0
FASTJSON-85_1,79,64,15,0,0,362,0,0
SEATA-14_1,76,31,45,0,0,853,0,0
GUAVA-85_1,137,57,70,10,0,91376,0,0
FASTJSON-59_1,109,107,2,0,0,292,0,0
SEATA-32_1,18,7,11,0,0,5463,0,0
FASTJSON-64_1,32,25,7,0,0,1228,0,0
GUAVA-45_1,117,102,14,1,0,48823,0,0
SPOON-165_1,41,12,16,13,0,67037,0,0
FASTJSON-25_1,5,3,2,0,0,6,0,0
SPOON-101_1,27,15,8,4,0,20594,0,0
SEATA-16_1,21,13,8,0,0,955,0,0
GUAVA-110_1,211,134,63,14,0,90925,0,0
FASTJSON-15_1,17,5,6,6,0,30082,0,0
SPOON-9_1,71,63,8,0,0,16969,0,0
SPOON-169_1,17,6,5,6,0,31831,0,0
SPOON-157_1,25,17,2,6,0,31774,0,0
FASTJSON-4_1,157,82,75,0,0,2918,0,0
SPOON-155_1,77,14,62,1,0,103701,0,0
FASTJSON-31_1,81,20,50,11,0,70393,0,0
GUAVA-114_1,461,35,309,117,0,628551,0,0
SPOON-103_1,23,6,11,6,0,33864,0,0
GUAVA-6_1,138,86,47,5,0,44834,0,0
