benchmark,cnt,sat,unsat,unknown,reusedUnsat,solvingTime,checkingTime,updatingTime
FASTJSON-17_1,8,6,2,0,0,103,0,36
FASTJSON-79_1,113,2,111,0,0,2169,0,73
SEATA-24_1,36,14,22,0,0,10526,0,4
FASTJSON-39_1,41,31,8,2,0,29628,0,37
GUAVA-249_1,57,54,1,2,0,10365,0,0
SPOON-167_1,12,11,1,0,0,3264,0,0
SPOON-19_1,18,18,0,0,0,10482,0,0
SPOON-163_1,28,20,3,5,0,30991,0,1
FASTJSON-104_1,102,77,21,4,0,76293,0,25
GUAVA-260_1,479,238,236,5,0,33540,0,6
SPOON-159_1,131,57,67,7,0,40430,0,0
FASTJSON-93_1,85,45,40,0,0,619,0,0
FASTJSON-49_1,40,15,16,9,0,62451,0,28
FASTJSON-105_1,332,252,73,7,0,46658,0,0
SEATA-4_1,1,1,0,0,0,8,0,0
SPOON-13_1,23,5,12,6,0,42452,0,0
GUAVA-174_1,248,114,123,11,0,102814,0,60
GUAVA-71_1,209,122,83,4,0,27538,0,0
FASTJSON-9_1,75,29,45,1,0,9417,0,0
GUAVA-275_1,119,43,72,4,0,23380,0,0
FASTJSON-72_1,94,41,53,0,0,1175,0,0
GUAVA-115_1,40,16,24,0,0,10491,0,0
GUAVA-197_1,62,52,9,1,0,45388,0,0
GUAVA-78_1,169,82,58,29,0,218530,0,3
SPOON-107_1,92,62,10,20,0,144324,0,0
FASTJSON-85_1,79,64,15,0,0,1044,0,0
GUAVA-153_1,50,45,2,3,0,15231,0,0
SEATA-14_1,76,31,45,0,0,2081,0,0
FASTJSON-50_1,271,194,50,27,0,176325,0,0
FASTJSON-64_1,32,25,7,0,0,3583,0,0
FASTJSON-59_1,109,107,2,0,0,877,0,0
FASTJSON-19_1,143,91,40,12,0,150529,0,0
SEATA-32_1,18,6,11,1,0,12542,0,0
FASTJSON-25_1,5,3,2,0,0,21,0,0
SEATA-16_1,21,13,8,0,0,3007,0,0
FASTJSON-26_1,285,72,185,28,0,208537,0,0
SPOON-11_1,15,9,0,6,0,36984,0,0
FASTJSON-15_1,17,5,6,6,0,30196,0,0
SPOON-101_1,27,15,8,4,0,20498,0,0
SPOON-169_1,17,6,5,6,0,33955,0,0
FASTJSON-32_1,134,1,98,35,0,201297,0,4
GUAVA-110_1,211,131,63,17,0,115735,0,0
SPOON-9_1,71,60,8,3,0,39287,0,0
FASTJSON-4_1,157,82,75,0,0,6242,0,0
SPOON-165_1,41,12,16,13,0,68156,0,0
GUAVA-45_1,117,103,14,0,0,79437,0,0
GUAVA-85_1,137,54,69,14,0,147254,0,2
SPOON-103_1,23,6,11,6,0,38147,0,0
FASTJSON-31_1,81,18,50,13,0,81780,0,0
SPOON-157_1,25,17,2,6,0,33575,0,0
GUAVA-6_1,138,84,47,7,0,59844,0,0
SPOON-151_1,1198,131,1037,30,0,355350,0,41
SPOON-155_1,77,14,57,6,0,149488,0,27
GUAVA-114_1,461,35,309,117,0,653052,0,1751
