benchmark,cnt,sat,unsat,unknown,reusedUnsat,solvingTime,checkingTime,updatingTime
FASTJSON-17_1,8,6,2,0,0,86,14,2
FASTJSON-79_1,113,2,111,0,103,138,64,77
GUAVA-249_1,57,54,1,2,0,10488,26,2
FASTJSON-39_1,41,32,8,1,0,26571,16,31
SPOON-167_1,12,11,1,0,0,3236,0,0
SPOON-163_1,28,20,3,5,1,29235,25,26
GUAVA-6_1,138,81,47,10,16,59584,18,0
FASTJSON-104_1,102,77,21,4,5,66390,5,0
SEATA-24_1,36,14,22,0,1,9643,0,0
GUAVA-260_1,479,238,236,5,113,31482,1896,116
FASTJSON-93_1,85,45,40,0,13,406,0,0
SPOON-19_1,18,18,0,0,0,7584,0,0
FASTJSON-105_1,332,252,73,7,48,39883,99,0
SEATA-4_1,1,1,0,0,0,6,0,0
SPOON-159_1,131,57,67,7,37,39012,14,0
SPOON-13_1,23,5,12,6,4,37106,23,0
FASTJSON-49_1,40,15,17,8,2,59081,136,0
GUAVA-71_1,209,122,83,4,41,26092,608,0
FASTJSON-72_1,94,41,53,0,11,765,6,0
GUAVA-174_1,248,114,125,9,4,80080,1373,1
GUAVA-115_1,40,16,24,0,16,10614,0,0
FASTJSON-9_1,75,29,45,1,5,8355,10,0
GUAVA-78_1,169,82,60,27,18,189853,46,0
GUAVA-275_1,119,43,72,4,11,23313,1,100
GUAVA-197_1,62,52,9,1,0,49470,100,0
GUAVA-153_1,50,45,2,3,0,15210,2,0
FASTJSON-85_1,79,64,15,0,3,823,0,0
SEATA-14_1,76,31,45,0,10,1709,0,0
FASTJSON-59_1,109,107,2,0,0,721,0,0
SPOON-11_1,15,9,0,6,0,35652,0,0
SPOON-151_1,1198,131,1038,29,885,248910,1512,40
SPOON-107_1,92,64,10,18,2,143593,32,0
FASTJSON-64_1,32,25,7,0,1,1852,0,0
SEATA-32_1,18,7,11,0,0,13133,0,0
FASTJSON-19_1,143,95,40,8,9,133124,8,0
FASTJSON-25_1,5,3,2,0,0,18,0,0
SEATA-16_1,21,13,8,0,0,2549,0,0
FASTJSON-26_1,285,74,185,26,27,188747,1745,9
FASTJSON-50_1,271,195,50,26,11,169769,119,0
FASTJSON-15_1,17,5,6,6,0,30201,0,0
SPOON-101_1,27,15,8,4,1,20761,62,0
SPOON-169_1,17,6,5,6,0,33976,7,0
SPOON-9_1,71,62,8,1,1,33755,90,0
FASTJSON-4_1,157,82,75,0,37,5139,3,0
SPOON-165_1,41,12,16,13,5,67463,236,0
SPOON-155_1,77,12,61,4,44,30260,291,0
GUAVA-110_1,211,130,63,18,20,125157,1,0
FASTJSON-32_1,134,0,98,36,2,199660,892,0
SPOON-157_1,25,17,2,6,0,32786,19,0
GUAVA-45_1,117,98,14,5,1,91355,94,0
SPOON-103_1,23,6,11,6,0,36165,10,0
GUAVA-85_1,137,55,70,12,6,131235,1840,1
FASTJSON-31_1,81,20,50,11,20,73878,2,60
GUAVA-114_1,461,36,309,116,0,642601,131879,2260
