benchmark,smt,event,duration,result
FASTJSON-79_1,smt-57,check,11,false
SPOON-163_1,smt-1,check,12,false
GUAVA-249_1,smt-57,check,12,false
FASTJSON-17_1,smt-1,check,12,false
GUAVA-260_1,smt-57,check,13,false
SPOON-151_1,smt-1121,check,0,false
FASTJSON-39_1,smt-37,check,0,false
GUAVA-6_1,smt-57,check,0,false
SPOON-163_1,smt-1,solve,20,SAT
FASTJSON-17_1,smt-1,solve,12,SAT
SPOON-163_1,smt-7,check,0,false
FASTJSON-17_1,smt-7,check,1,false
GUAVA-249_1,smt-57,solve,14,SAT
GUAVA-249_1,smt-37,check,0,false
SPOON-163_1,smt-7,solve,13,SAT
FASTJSON-17_1,smt-7,solve,22,SAT
SPOON-163_1,smt-27,check,0,false
FASTJSON-17_1,smt-4,check,0,false
GUAVA-260_1,smt-57,solve,19,SAT
GUAVA-249_1,smt-37,solve,11,SAT
FASTJSON-79_1,smt-57,solve,23,UNSAT
GUAVA-260_1,smt-311,check,0,false
GUAVA-249_1,smt-1,check,0,false
FASTJSON-79_1,smt-57,update,39,
FASTJSON-17_1,smt-4,solve,6,SAT
FASTJSON-17_1,smt-3,check,0,false
FASTJSON-79_1,smt-90,check,2,false
FASTJSON-79_1,smt-90,solve,6,UNSAT
FASTJSON-79_1,smt-90,update,4,
FASTJSON-17_1,smt-3,solve,6,SAT
FASTJSON-17_1,smt-2,check,0,false
FASTJSON-79_1,smt-37,check,4,true
FASTJSON-79_1,smt-1,check,0,false
FASTJSON-17_1,smt-2,solve,6,SAT
FASTJSON-79_1,smt-1,solve,5,SAT
FASTJSON-17_1,smt-8,check,0,false
GUAVA-249_1,smt-1,solve,13,SAT
GUAVA-249_1,smt-31,check,0,false
FASTJSON-79_1,smt-87,check,1,false
FASTJSON-17_1,smt-8,solve,5,UNSAT
FASTJSON-17_1,smt-8,update,1,
GUAVA-249_1,smt-31,solve,8,SAT
FASTJSON-17_1,smt-6,check,1,false
GUAVA-249_1,smt-53,check,0,false
FASTJSON-39_1,smt-37,solve,56,UNSAT
GUAVA-260_1,smt-311,solve,14,UNSAT
FASTJSON-39_1,smt-37,update,29,
GUAVA-260_1,smt-311,update,39,
GUAVA-249_1,smt-53,solve,10,SAT
FASTJSON-39_1,smt-1,check,1,false
GUAVA-249_1,smt-7,check,0,false
GUAVA-260_1,smt-173,check,0,false
GUAVA-249_1,smt-7,solve,6,SAT
FASTJSON-17_1,smt-6,solve,22,SAT
GUAVA-249_1,smt-27,check,0,false
