benchmark,smt,event,duration,result
FASTJSON-79_1,smt-57,check,3,false
GUAVA-260_1,smt-57,check,11,false
FASTJSON-17_1,smt-1,check,19,false
SPOON-163_1,smt-1,check,19,false
GUAVA-78_1,smt-57,check,0,false
FASTJSON-104_1,smt-57,check,0,false
SPOON-151_1,smt-1121,check,0,false
FASTJSON-49_1,smt-37,check,0,false
FASTJSON-17_1,smt-1,solve,32,SAT
SPOON-163_1,smt-1,solve,34,SAT
SPOON-163_1,smt-7,check,0,false
FASTJSON-17_1,smt-7,check,0,false
SPOON-163_1,smt-7,solve,9,SAT
SPOON-163_1,smt-27,check,0,false
FASTJSON-17_1,smt-7,solve,28,SAT
FASTJSON-17_1,smt-4,check,0,false
GUAVA-260_1,smt-57,solve,26,SAT
GUAVA-260_1,smt-311,check,0,false
FASTJSON-79_1,smt-57,solve,25,UNSAT
FASTJSON-79_1,smt-57,update,46,
FASTJSON-79_1,smt-90,check,4,false
FASTJSON-17_1,smt-4,solve,10,SAT
FASTJSON-17_1,smt-3,check,0,false
FASTJSON-79_1,smt-90,solve,6,UNSAT
FASTJSON-79_1,smt-90,update,2,
FASTJSON-79_1,smt-37,check,12,true
FASTJSON-79_1,smt-1,check,1,false
FASTJSON-17_1,smt-3,solve,7,SAT
FASTJSON-17_1,smt-2,check,0,false
FASTJSON-79_1,smt-1,solve,5,SAT
FASTJSON-79_1,smt-87,check,10,true
FASTJSON-79_1,smt-31,check,3,true
FASTJSON-79_1,smt-89,check,3,true
FASTJSON-17_1,smt-2,solve,9,SAT
FASTJSON-17_1,smt-8,check,0,false
FASTJSON-79_1,smt-53,check,3,true
FASTJSON-79_1,smt-7,check,5,true
FASTJSON-79_1,smt-27,check,1,true
FASTJSON-79_1,smt-75,check,0,true
FASTJSON-79_1,smt-67,check,1,true
GUAVA-260_1,smt-311,solve,19,UNSAT
FASTJSON-79_1,smt-88,check,1,true
FASTJSON-79_1,smt-48,check,0,true
FASTJSON-17_1,smt-8,solve,10,UNSAT
FASTJSON-17_1,smt-8,update,4,
FASTJSON-79_1,smt-18,check,1,true
GUAVA-260_1,smt-311,update,44,
FASTJSON-17_1,smt-6,check,0,false
FASTJSON-79_1,smt-92,check,4,true
GUAVA-260_1,smt-173,check,0,false
GUAVA-78_1,smt-57,solve,166,SAT
FASTJSON-79_1,smt-100,check,1,true
FASTJSON-79_1,smt-59,check,1,true
GUAVA-78_1,smt-90,check,0,false
FASTJSON-79_1,smt-42,check,1,true
FASTJSON-79_1,smt-82,check,1,true
FASTJSON-79_1,smt-4,check,0,false
FASTJSON-79_1,smt-4,solve,10,SAT
FASTJSON-17_1,smt-6,solve,40,SAT
GUAVA-260_1,smt-173,solve,19,SAT
FASTJSON-17_1,smt-5,check,0,false
FASTJSON-79_1,smt-66,check,1,true
GUAVA-260_1,smt-225,check,0,false
FASTJSON-79_1,smt-85,check,0,true
FASTJSON-79_1,smt-104,check,3,true
FASTJSON-79_1,smt-24,check,1,true
FASTJSON-79_1,smt-36,check,2,true
FASTJSON-79_1,smt-76,check,3,true
FASTJSON-79_1,smt-97,check,1,true
FASTJSON-17_1,smt-5,solve,13,UNSAT
