benchmark,cnt,sat,unsat,unknown
FASTJSON-39_1,41,33,8,0
FASTJSON-17_1,8,6,2,0
SPOON-163_1,28,20,3,5
SPOON-151_1,1198,131,1035,32
FASTJSON-104_1,102,77,21,4
FASTJSON-79_1,113,2,111,0
FASTJSON-49_1,40,15,17,8
GUAVA-174_1,248,114,124,10
GUAVA-249_1,57,54,1,2
GUAVA-78_1,169,82,60,27
GUAVA-260_1,479,238,236,5
SPOON-19_1,18,18,0,0
SEATA-24_1,36,14,22,0
FASTJSON-105_1,332,252,73,7
SPOON-167_1,12,11,1,0
FASTJSON-26_1,285,76,185,24
SPOON-159_1,131,58,67,6
SPOON-13_1,23,5,12,6
FASTJSON-93_1,85,45,40,0
GUAVA-71_1,209,122,83,4
SPOON-107_1,92,69,10,13
SEATA-4_1,1,1,0,0
FASTJSON-50_1,271,195,50,26
GUAVA-197_1,62,51,9,2
GUAVA-275_1,119,43,72,4
FASTJSON-72_1,94,41,53,0
FASTJSON-9_1,75,30,45,0
FASTJSON-19_1,143,96,40,7
GUAVA-115_1,40,16,24,0
SPOON-11_1,15,9,0,6
FASTJSON-32_1,134,1,98,35
GUAVA-153_1,50,45,2,3
FASTJSON-85_1,79,64,15,0
SEATA-14_1,76,31,45,0
GUAVA-85_1,137,55,69,13
FASTJSON-59_1,109,107,2,0
SEATA-32_1,18,7,11,0
FASTJSON-64_1,32,25,7,0
GUAVA-45_1,117,97,14,6
SPOON-165_1,41,12,16,13
FASTJSON-25_1,5,3,2,0
SPOON-101_1,27,15,8,4
SEATA-16_1,21,13,8,0
GUAVA-110_1,211,130,63,18
FASTJSON-15_1,17,5,6,6
SPOON-9_1,71,63,8,0
SPOON-169_1,17,6,5,6
SPOON-157_1,25,17,2,6
FASTJSON-4_1,157,82,75,0
SPOON-155_1,77,12,51,14
FASTJSON-31_1,81,18,50,13
GUAVA-114_1,461,33,309,119
SPOON-103_1,23,6,11,6
GUAVA-6_1,138,84,47,7
