benchmark,numberOfVariables
FASTJSON-39_1,18
FASTJSON-39_1,18
FASTJSON-39_1,47
FASTJSON-39_1,18
FASTJSON-39_1,8
FASTJSON-39_1,32
FASTJSON-39_1,36
FASTJSON-39_1,32
FASTJSON-39_1,61
FASTJSON-39_1,73
FASTJSON-39_1,59
FASTJSON-39_1,61
FASTJSON-39_1,61
FASTJSON-39_1,93
FASTJSON-39_1,206
FASTJSON-39_1,48
FASTJSON-39_1,52
FASTJSON-39_1,41
FASTJSON-39_1,54
FASTJSON-39_1,59
FASTJSON-39_1,32
FASTJSON-39_1,59
FASTJSON-39_1,18
FASTJSON-39_1,11
FASTJSON-39_1,59
FASTJSON-39_1,13
FASTJSON-39_1,76
FASTJSON-39_1,46
FASTJSON-39_1,149
FASTJSON-39_1,18
FASTJSON-39_1,55
FASTJSON-39_1,14
FASTJSON-39_1,59
FASTJSON-39_1,55
FASTJSON-39_1,4
FASTJSON-39_1,7
FASTJSON-39_1,92
FASTJSON-39_1,109
FASTJSON-39_1,42
FASTJSON-39_1,57
FASTJSON-39_1,197
FASTJSON-17_1,6
FASTJSON-17_1,16
FASTJSON-17_1,5
FASTJSON-17_1,9
FASTJSON-17_1,4
FASTJSON-17_1,5
FASTJSON-17_1,24
FASTJSON-17_1,26
SPOON-163_1,21
SPOON-163_1,5
SPOON-163_1,6
SPOON-163_1,21
SPOON-163_1,42
SPOON-163_1,9
SPOON-163_1,25
SPOON-163_1,18
SPOON-163_1,6
SPOON-163_1,8
SPOON-163_1,5
SPOON-163_1,10
SPOON-163_1,17
SPOON-163_1,6
SPOON-163_1,23
SPOON-163_1,46
SPOON-163_1,6
SPOON-163_1,412
SPOON-163_1,14
SPOON-163_1,19
SPOON-163_1,73
SPOON-163_1,71
SPOON-163_1,500
SPOON-163_1,998
SPOON-163_1,2344
SPOON-163_1,3110
SPOON-163_1,4450
SPOON-163_1,3883
SPOON-151_1,118
SPOON-151_1,92
SPOON-151_1,165
SPOON-151_1,149
SPOON-151_1,210
SPOON-151_1,226
SPOON-151_1,92
SPOON-151_1,293
SPOON-151_1,242
SPOON-151_1,420
SPOON-151_1,355
SPOON-151_1,161
SPOON-151_1,278
SPOON-151_1,521
SPOON-151_1,136
SPOON-151_1,226
SPOON-151_1,426
SPOON-151_1,371
SPOON-151_1,192
SPOON-151_1,223
SPOON-151_1,266
SPOON-151_1,224
SPOON-151_1,270
SPOON-151_1,301
SPOON-151_1,252
SPOON-151_1,103
SPOON-151_1,339
SPOON-151_1,432
SPOON-151_1,87
SPOON-151_1,185
SPOON-151_1,460
SPOON-151_1,388
SPOON-151_1,83
SPOON-151_1,387
SPOON-151_1,89
SPOON-151_1,156
SPOON-151_1,388
SPOON-151_1,466
SPOON-151_1,218
SPOON-151_1,178
SPOON-151_1,146
SPOON-151_1,426
SPOON-151_1,166
SPOON-151_1,126
SPOON-151_1,234
SPOON-151_1,173
SPOON-151_1,112
SPOON-151_1,218
SPOON-151_1,154
SPOON-151_1,455
SPOON-151_1,355
SPOON-151_1,77
SPOON-151_1,354
SPOON-151_1,319
SPOON-151_1,277
SPOON-151_1,254
SPOON-151_1,252
SPOON-151_1,113
SPOON-151_1,270
SPOON-151_1,171
SPOON-151_1,154
SPOON-151_1,161
SPOON-151_1,101
SPOON-151_1,367
SPOON-151_1,135
SPOON-151_1,516
SPOON-151_1,39
SPOON-151_1,444
SPOON-151_1,228
SPOON-151_1,177
SPOON-151_1,206
SPOON-151_1,352
SPOON-151_1,203
SPOON-151_1,582
SPOON-151_1,89
SPOON-151_1,201
SPOON-151_1,417
SPOON-151_1,270
SPOON-151_1,221
SPOON-151_1,210
SPOON-151_1,112
SPOON-151_1,234
SPOON-151_1,226
SPOON-151_1,5
SPOON-151_1,269
SPOON-151_1,120
SPOON-151_1,292
SPOON-151_1,138
SPOON-151_1,214
SPOON-151_1,606
SPOON-151_1,216
SPOON-151_1,196
SPOON-151_1,370
SPOON-151_1,123
SPOON-151_1,94
SPOON-151_1,81
SPOON-151_1,264
SPOON-151_1,98
SPOON-151_1,539
SPOON-151_1,384
SPOON-151_1,429
SPOON-151_1,156
SPOON-151_1,554
SPOON-151_1,203
SPOON-151_1,148
SPOON-151_1,142
SPOON-151_1,312
SPOON-151_1,252
SPOON-151_1,452
SPOON-151_1,342
SPOON-151_1,160
SPOON-151_1,275
SPOON-151_1,117
SPOON-151_1,223
SPOON-151_1,120
SPOON-151_1,330
SPOON-151_1,415
SPOON-151_1,343
SPOON-151_1,551
SPOON-151_1,190
SPOON-151_1,122
SPOON-151_1,111
SPOON-151_1,171
SPOON-151_1,222
SPOON-151_1,137
SPOON-151_1,251
SPOON-151_1,192
SPOON-151_1,154
SPOON-151_1,459
SPOON-151_1,291
SPOON-151_1,127
SPOON-151_1,192
SPOON-151_1,252
SPOON-151_1,138
SPOON-151_1,343
SPOON-151_1,282
SPOON-151_1,564
SPOON-151_1,106
SPOON-151_1,201
SPOON-151_1,160
SPOON-151_1,408
SPOON-151_1,254
SPOON-151_1,270
SPOON-151_1,537
SPOON-151_1,230
SPOON-151_1,270
SPOON-151_1,564
SPOON-151_1,88
SPOON-151_1,408
SPOON-151_1,372
SPOON-151_1,154
SPOON-151_1,306
SPOON-151_1,519
SPOON-151_1,126
SPOON-151_1,240
SPOON-151_1,110
SPOON-151_1,361
SPOON-151_1,108
SPOON-151_1,438
SPOON-151_1,174
SPOON-151_1,234
SPOON-151_1,224
SPOON-151_1,142
SPOON-151_1,269
SPOON-151_1,175
SPOON-151_1,130
SPOON-151_1,239
SPOON-151_1,252
SPOON-151_1,356
SPOON-151_1,221
SPOON-151_1,357
SPOON-151_1,92
SPOON-151_1,160
SPOON-151_1,174
SPOON-151_1,124
SPOON-151_1,198
SPOON-151_1,116
SPOON-151_1,270
SPOON-151_1,189
SPOON-151_1,171
SPOON-151_1,252
SPOON-151_1,144
SPOON-151_1,127
SPOON-151_1,195
SPOON-151_1,281
SPOON-151_1,283
SPOON-151_1,377
SPOON-151_1,107
SPOON-151_1,397
SPOON-151_1,203
SPOON-151_1,457
SPOON-151_1,359
SPOON-151_1,183
SPOON-151_1,408
SPOON-151_1,368
SPOON-151_1,122
SPOON-151_1,345
SPOON-151_1,76
SPOON-151_1,201
SPOON-151_1,334
SPOON-151_1,146
SPOON-151_1,123
SPOON-151_1,430
SPOON-151_1,301
SPOON-151_1,124
SPOON-151_1,142
SPOON-151_1,172
SPOON-151_1,266
SPOON-151_1,390
SPOON-151_1,208
SPOON-151_1,85
SPOON-151_1,227
SPOON-151_1,243
SPOON-151_1,451
SPOON-151_1,233
SPOON-151_1,192
SPOON-151_1,155
SPOON-151_1,230
SPOON-151_1,348
SPOON-151_1,145
SPOON-151_1,132
SPOON-151_1,537
SPOON-151_1,212
SPOON-151_1,74
SPOON-151_1,237
SPOON-151_1,119
SPOON-151_1,215
SPOON-151_1,462
SPOON-151_1,150
SPOON-151_1,263
SPOON-151_1,534
SPOON-151_1,283
SPOON-151_1,118
SPOON-151_1,39
SPOON-151_1,191
SPOON-151_1,106
SPOON-151_1,166
SPOON-151_1,234
SPOON-151_1,254
SPOON-151_1,115
SPOON-151_1,417
SPOON-151_1,145
SPOON-151_1,424
SPOON-151_1,189
SPOON-151_1,72
SPOON-151_1,301
SPOON-151_1,432
SPOON-151_1,134
SPOON-151_1,430
SPOON-151_1,232
SPOON-151_1,143
SPOON-151_1,147
SPOON-151_1,227
SPOON-151_1,254
SPOON-151_1,103
SPOON-151_1,108
SPOON-151_1,430
SPOON-151_1,228
SPOON-151_1,224
SPOON-151_1,246
SPOON-151_1,153
SPOON-151_1,128
SPOON-151_1,282
SPOON-151_1,310
SPOON-151_1,236
SPOON-151_1,484
SPOON-151_1,140
SPOON-151_1,152
SPOON-151_1,143
SPOON-151_1,128
SPOON-151_1,209
SPOON-151_1,135
SPOON-151_1,234
SPOON-151_1,81
SPOON-151_1,156
SPOON-151_1,242
SPOON-151_1,105
SPOON-151_1,273
SPOON-151_1,144
SPOON-151_1,210
SPOON-151_1,179
SPOON-151_1,137
SPOON-151_1,269
SPOON-151_1,380
SPOON-151_1,154
SPOON-151_1,100
SPOON-151_1,279
SPOON-151_1,212
SPOON-151_1,138
SPOON-151_1,83
SPOON-151_1,469
SPOON-151_1,380
SPOON-151_1,207
SPOON-151_1,239
SPOON-151_1,168
SPOON-151_1,97
SPOON-151_1,223
SPOON-151_1,133
SPOON-151_1,228
SPOON-151_1,195
SPOON-151_1,270
SPOON-151_1,301
SPOON-151_1,377
SPOON-151_1,332
SPOON-151_1,246
SPOON-151_1,317
SPOON-151_1,136
SPOON-151_1,230
SPOON-151_1,337
SPOON-151_1,194
SPOON-151_1,66
SPOON-151_1,104
SPOON-151_1,80
SPOON-151_1,302
SPOON-151_1,306
SPOON-151_1,106
SPOON-151_1,259
SPOON-151_1,224
SPOON-151_1,120
SPOON-151_1,95
SPOON-151_1,424
SPOON-151_1,113
SPOON-151_1,136
SPOON-151_1,72
SPOON-151_1,210
SPOON-151_1,404
SPOON-151_1,435
SPOON-151_1,408
SPOON-151_1,106
SPOON-151_1,206
SPOON-151_1,290
SPOON-151_1,97
SPOON-151_1,89
SPOON-151_1,192
SPOON-151_1,100
SPOON-151_1,194
SPOON-151_1,239
SPOON-151_1,495
SPOON-151_1,192
SPOON-151_1,246
SPOON-151_1,281
SPOON-151_1,194
SPOON-151_1,342
SPOON-151_1,223
SPOON-151_1,484
SPOON-151_1,261
SPOON-151_1,243
SPOON-151_1,126
SPOON-151_1,86
SPOON-151_1,384
SPOON-151_1,316
SPOON-151_1,387
SPOON-151_1,264
SPOON-151_1,136
SPOON-151_1,260
SPOON-151_1,69
SPOON-151_1,501
SPOON-151_1,510
SPOON-151_1,234
SPOON-151_1,100
SPOON-151_1,266
SPOON-151_1,116
SPOON-151_1,162
